,,,Alabama
Abanda,Census-Designated Place,Chambers,Alabama
Abbeville,City,Henry,Alabama
Adamsville,City,Jefferson,Alabama
Addison,Town,Winston,Alabama
Akron,Town,Hale,Alabama
Alabaster,City,Shelby,Alabama
Albertville,City,Marshall,Alabama
Alexander City,City,Tallapoosa,Alabama
Alexandria,Census-Designated Place,Calhoun,Alabama
Aliceville,City,Pickens,Alabama
Allgood,Town,Blount,Alabama
Altoona,Town,885,Alabama
Andalusia,City,Covington,Alabama
Anderson,Town,Lauderdale,Alabama
Anniston,City,Calhoun,Alabama
Arab,City,...,Alabama
Ardmore,Town,Limestone,Alabama
Argo,Town,...,Alabama
Ariton,Town,Dale,Alabama
Arley,Town,Winston,Alabama
Ashford,Town,Houston,Alabama
Ashland,Town,Clay,Alabama
Ashville,City,St. Clair,Alabama
Athens,City,Limestone,Alabama
Atmore,City,Escambia,Alabama
Attalla,City,Etowah,Alabama
Auburn,City,Lee,Alabama
Autaugaville,Town,Autauga,Alabama
Avon,Town,Houston,Alabama
Axis,Census-Designated Place,Mobile,Alabama
Babbie,Town,Covington,Alabama
Baileyton,Town,Cullman,Alabama
Bakerhill,Town,Barbour,Alabama
Ballplay,Census-Designated Place,Etowah,Alabama
Banks,Town,Pike,Alabama
Bay Minette,City,Baldwin,Alabama
Bayou La Batre,City,Mobile,Alabama
Bear Creek,Town,Marion,Alabama
Beatrice,Town,Monroe,Alabama
Beaverton,Town,Lamar,Alabama
Belgreen,Census-Designated Place,Franklin,Alabama
Belk,Town,Fayette,Alabama
Bellamy,Census-Designated Place,Sumter,Alabama
Belle Fontaine,Census-Designated Place,Mobile,Alabama
Benton,Town,Lowndes,Alabama
Berry,Town,Fayette,Alabama
Bessemer,City,Jefferson,Alabama
Billingsley,Town,Autauga,Alabama
Birmingham,City,"265,940",Alabama
Black,Town,Geneva,Alabama
Blountsville,Town,Blount,Alabama
Blue Ridge,Census-Designated Place,Elmore,Alabama
Blue Springs,Town,Barbour,Alabama
Boaz,City,...,Alabama
Boligee,Town,Greene,Alabama
Bon Air,Town,Talladega,Alabama
Boykin,Census-Designated Place,Wilcox,Alabama
Brantley,Town,Crenshaw,Alabama
Brantleyville,Census-Designated Place,Shelby,Alabama
Brent,City,Bibb,Alabama
Brewton,City,Escambia,Alabama
Bridgeport,City,Jackson,Alabama
Brighton,City,Jefferson,Alabama
Brilliant,Town,Marion,Alabama
Bristow Cove,Census-Designated Place,Etowah,Alabama
Brook Highland,Census-Designated Place,Shelby,Alabama
Brookside,Town,Jefferson,Alabama
Brookwood,Town,Tuscaloosa,Alabama
Broomtown,Census-Designated Place,Cherokee,Alabama
Brundidge,City,Pike,Alabama
Bucks,Census-Designated Place,Mobile,Alabama
Butler,Town,Choctaw,Alabama
Calera,City,...,Alabama
Calvert,Census-Designated Place,Mobile,Alabama
Camden,City,Wilcox,Alabama
Camp Hill,Town,Tallapoosa,Alabama
Carbon Hill,City,Walker,Alabama
Cardiff,Town,Jefferson,Alabama
Carlisle-Rockledge,Census-Designated Place,Etowah,Alabama
Carlton,Census-Designated Place,Clarke,Alabama
Carolina,Town,Covington,Alabama
Carrollton,Town,Pickens,Alabama
Castleberry,Town,Conecuh,Alabama
Catherine,Census-Designated Place,Wilcox,Alabama
Cedar Bluff,Town,Cherokee,Alabama
Center Point,City,Jefferson,Alabama
Centre,City,Cherokee,Alabama
Centreville,City,Bibb,Alabama
Chatom,Town,Washington,Alabama
Chelsea,City,Shelby,Alabama
Cherokee,Town,Colbert,Alabama
Chickasaw,City,Mobile,Alabama
Childersburg,City,"4,756",Alabama
Choccolocco,Census-Designated Place,Calhoun,Alabama
Chunchula,Census-Designated Place,Mobile,Alabama
Citronelle,City,Mobile,Alabama
Clanton,City,Chilton,Alabama
Clay,City,Jefferson,Alabama
Clayhatchee,Town,Dale,Alabama
Clayton,Town,Barbour,Alabama
Cleveland,Town,Blount,Alabama
Clio,City,Barbour,Alabama
Coaling,Town,Tuscaloosa,Alabama
Coats Bend,Census-Designated Place,Etowah,Alabama
Coffee Springs,Town,Geneva,Alabama
Coffeeville,Town,Clarke,Alabama
Coker,Town,Tuscaloosa,Alabama
Collinsville,Town,...,Alabama
Colony,Town,Cullman,Alabama
Columbia,Town,Houston,Alabama
Columbiana,City,Shelby,Alabama
Concord,Census-Designated Place,Jefferson,Alabama
Coosada,Town,Elmore,Alabama
Cordova,City,Walker,Alabama
Cottonwood,Town,Houston,Alabama
County Line,Town,270,Alabama
Courtland,Town,Lawrence,Alabama
Cowarts,Town,Houston,Alabama
Creola,City,Mobile,Alabama
Crossville,Town,DeKalb,Alabama
Cuba,Town,Sumter,Alabama
Cullman,City,Cullman,Alabama
Cullomburg,Census-Designated Place,Choctaw,Alabama
Cusseta,Town,Chambers,Alabama
Dadeville,City,Tallapoosa,Alabama
Daleville,City,Dale,Alabama
Daphne,City,Baldwin,Alabama
Dauphin Island,Town,Mobile,Alabama
Daviston,Town,Tallapoosa,Alabama
Dayton,Town,Marengo,Alabama
Deatsville,Town,Elmore,Alabama
Decatur,City,"50,139",Alabama
Deer Park,Census-Designated Place,Washington,Alabama
Delta,Census-Designated Place,Clay,Alabama
Demopolis,City,Marengo,Alabama
Detroit,Town,Lamar,Alabama
Dodge City,Town,Cullman,Alabama
Dora,City,Walker,Alabama
Dothan,City,"55,333",Alabama
Double Springs,Town,Winston,Alabama
Douglas,Town,Marshall,Alabama
Dozier,Town,Crenshaw,Alabama
Dunnavant,Census-Designated Place,Shelby,Alabama
Dutton,Town,Jackson,Alabama
East Brewton,City,Escambia,Alabama
East Point,Census-Designated Place,Cullman,Alabama
Eclectic,Town,Elmore,Alabama
Edgewater,Census-Designated Place,Jefferson,Alabama
Edwardsville,Town,Cleburne,Alabama
Egypt,Census-Designated Place,Etowah,Alabama
Elba,City,Coffee,Alabama
Elberta,Town,Baldwin,Alabama
Eldridge,Town,Walker,Alabama
Elkmont,Town,Limestone,Alabama
Elmore,Town,Elmore,Alabama
Emelle,Town,Sumter,Alabama
Emerald Mountain,Census-Designated Place,Elmore,Alabama
Enterprise,City,"20,187",Alabama
Epes,Town,Sumter,Alabama
Ethelsville,Town,Pickens,Alabama
Eufaula,City,Barbour,Alabama
Eunola,Census-Designated Place,Geneva,Alabama
Eutaw,Town,Greene,Alabama
Eva,Town,Morgan,Alabama
Evergreen,City,Conecuh,Alabama
Excel,Town,Monroe,Alabama
Fairfield,City,Jefferson,Alabama
Fairford,Census-Designated Place,Washington,Alabama
Fairhope,City,Baldwin,Alabama
Fairview,Town,Cullman,Alabama
Falkville,Town,Morgan,Alabama
Faunsdale,Town,Marengo,Alabama
Fayette,City,Fayette,Alabama
Fayetteville,Census-Designated Place,Talladega,Alabama
Fitzpatrick,Census-Designated Place,Bullock,Alabama
Five Points,Town,Chambers,Alabama
Flomaton,Town,Escambia,Alabama
Florala,Town,Covington,Alabama
Florence,City,Lauderdale,Alabama
Foley,City,Baldwin,Alabama
Forestdale,Census-Designated Place,Jefferson,Alabama
Forkland,Town,Greene,Alabama
Fort Deposit,Town,Lowndes,Alabama
Fort Payne,City,DeKalb,Alabama
Fort Rucker,Census-Designated Place,Dale,Alabama
Franklin,Town,Macon,Alabama
Fredonia,Census-Designated Place,Chambers,Alabama
Frisco City,Town,Monroe,Alabama
Fruitdale,Census-Designated Place,Washington,Alabama
Fruithurst,Town,Cleburne,Alabama
Fulton,Town,Clarke,Alabama
Fultondale,City,Jefferson,Alabama
Fyffe,Town,DeKalb,Alabama
Gadsden,City,Etowah,Alabama
Gainesville,Town,Sumter,Alabama
Gallant,Census-Designated Place,Etowah,Alabama
Gantt,Town,Covington,Alabama
Garden City,Town,596,Alabama
Gardendale,City,Jefferson,Alabama
Gaylesville,Town,Cherokee,Alabama
Geiger,Town,Sumter,Alabama
Geneva,City,Geneva,Alabama
Georgiana,Town,Butler,Alabama
Geraldine,Town,DeKalb,Alabama
Gilbertown,Town,Choctaw,Alabama
Glen Allen,Town,...,Alabama
Glencoe,City,"4,727",Alabama
Glenwood,Town,Crenshaw,Alabama
Goldville,Town,Tallapoosa,Alabama
Good Hope,Town,Cullman,Alabama
Goodwater,Town,Coosa,Alabama
Gordo,Town,Pickens,Alabama
Gordon,Town,Houston,Alabama
Gordonville,Town,Lowndes,Alabama
Goshen,Town,Pike,Alabama
Graham,Census-Designated Place,Randolph,Alabama
Grand Bay,Census-Designated Place,Mobile,Alabama
Grant,Town,Marshall,Alabama
Grayson Valley,Census-Designated Place,Jefferson,Alabama
Graysville,City,Jefferson,Alabama
Greensboro,City,Hale,Alabama
Greenville,City,Butler,Alabama
Grimes,Town,Dale,Alabama
Grove Hill,Town,Clarke,Alabama
Gu-Win,Town,194,Alabama
Guin,City,Marion,Alabama
Gulf Shores,City,Baldwin,Alabama
Gulfcrest,Census-Designated Place,Mobile,Alabama
Guntersville,City,Marshall,Alabama
Gurley,Town,Madison,Alabama
Hackleburg,Town,Marion,Alabama
Hackneyville,Census-Designated Place,Tallapoosa,Alabama
Haleburg,Town,Henry,Alabama
Haleyville,City,...,Alabama
Hamilton,City,Marion,Alabama
